name,address,hours
Pesto,"ул. Чимкентская, 9, Мирабадский район",08:00-23:00
Petrovic,"ул. Мавлона Риёзи, 47, Яшнабадский район",12:00-23:00
Pie Republic,"ул. Шахрисабз, 33А, Мирзо-Улугбекский район",08:00-22:00
Pie republic,"ул. Лашкарбеги, 11, Мирзо-Улугбекский район",
Pita Street Food,"ул. Кары Ниязова, 9, Мирзо-Улугбекский район",11:00-23:00
Pitihana Sheki,"Афросиеб 35/1, Мирабадский район",11:00-23:00
Pizza Grand & Sushi Grand,"4 квартал, д. 1, Чиланзарский район",
Pizza Mania,"Сергели-8А, ул. Новосергелийская, Сергелийский район",09:00-22:00
Pizza Planet,"ул. Богишамол, 3, Юнусабадский район",11:00-23:00
Pizza-Hut,"ул. Богишамол, 3, Юнусабадский район",10:00-23:00
Pizzeria Bella Napoli,"ул. Шота Руставели, 63, Яккасарайский район",11:00-23:00
Pizzeria Bella Napoli,"ул. Бабура, 174, Шайхантахурский район",11:00-23:00
Plov Lounge & Banquet Hall,"ул. Аблуллы Кодырий, 25/1, Шайхантахурский район",12:00-23:00
Podwall,"ул. Богишамол, 57, Юнусабадский район",12:00-03:00
Portofino,"ул. Узбекистон Овози, 2, Мирзо-Улугбекский район",
Prestige,"ул. Фархадская, 1А, Чиланзарский район",12:00-23:00
Prime Restaurant,"ул. 2-й проезд Тараккиет, 3, Яшнабадский район",
Pro.Хинкали,"просп. Амира Темура, 60, Юнусабадский район",11:00-00:00
Pub kebab,"ул. Баходыра, 44, Яккасарайский район",
Puera tea house,"ул. Шахрисабз, 1B, Мирзо-Улугбекский район",08:00-23:00
Puerto Art Restaurant,"ул. Шота Руставели, 22А, Яккасарайский район",12:00-02:00
Puro Gelateria & Caffetteria,"ул. Садыка Азимова, 43, Мирзо-Улугбекский район",09:30-22:30
Qamish - хорезмский гамбургер,"Ц-6, ул. Осие, 85, Юнусабадский район",
Qanotchi,"ул. Мухандислар, 25, Яккасарайский район",12:00-23:00
Quadro Restaurant & Patisserie,"ул. Зульфия Хоним, 24, Шайхантахурский район",11:00-00:00
Quattro Pizza,"Спорткомплекс JAR, Шайхантахурский район",
Queen,"ул. Ахмада Дониша, 4, Юнусабадский район",09:00-23:00
Queens,"ул. Тараса Шевченко, 23, Мирабадский район",18:00-02:00
Quyun,"ул. Кичик Халка йули, 1А, Юнусабадский район",10:00-23:00
Raaj Kapur,"ул. Шахризабская, отель Le Grande Plaza (TaTa), 2-й этаж, Мирзо-Улугбекский район",
Raddus,"ул. Сулейманова, 39/41, Яккасарайский район",
Rakat Lounge & Business Cafe,"ул. Мирабад, 35, Мирабадский район",07:00-23:00
Ranfood,"ул. Байроктол, 36Б, Олмазорский район",11:00-02:30
Red Stone Pub,"пр. Тюльпан, 92, Мирзо-Улугбекский район",12:00-00:00
Reggae Bean,"ул. Ойбека, 40, Мирабадский район",09:00-23:00
Registan Art Cafe,"ул. Шарафа Рашидова, 77А, Яккасарайский район",10:00-23:00
Registan restaurant & terrace,"ул. Мукими, 96 Г, Яккасарайский район",11:00-23:00
Renaissance,"ул. Фархадская, 1А, Чиланзарский район",
Republic,"ул. Фаргона Йули, 794, Мирабадский район",12:00-23:00
Restaurant Asia Tashkent,"ул. Шота Руставели, 111, Яккасарайский район",
Restaurant Tashkent,"ул. Буюк Турон, 56, Юнусабадский район",
Restobar Aura,"ул. Бабура, 21А, Мирабадский район",12:00-00:00
Retro Dinamo Cafe,"ул. Лабзак, 2, Шайхантахурский район",09:00-23:00
Retro Fusion House,"ул. Олтинтепа, 28, Яшнабадский район",11:00-00:00
Retro Local Bar,"просп. Амира Темура-Кичик Халка йули, 1, Юнусабадский район",
RICCHI Cuisine & Gelateria,"ул. Буюк ипак Йули, 3, Мирабадский район",
Rich pub,"ул. Таракиёт, 2-й проезд, 3, Яшнабадский район",
Rio,"ул. Петушок, 14/62, Юнусабадский район",10:00-23:00
Ristorante Positano,"ул. Тараса Шевченко, 38А, Мирабадский район",12:00-23:00
Rodena Coffee,"ул. Авиасозлар, 65, Яшнабадский район",08:00-23:00
Roma Pizza,"ул. Мукими, 13/3, Чиланзарский район",10:00-23:00
Roma Ristorante Italiano,"ул. Заркайнар, 2А, Шайхантахурский район",10:00-23:00
Roni Napoletana,"ул. Истикбол, 8, Мирабадский район",
Roni Napoletana,"ул. Тараса Шевченко, 21А, Мирабадский район",
Roots,"ул. Шота Руставели, Яккасарайский район",
Rossini,"ул. Абдулла Кодири, 20, Шайхантахурский район",11:00-23:00
Rox,"ул. Юсуф Хос Хожиб, 73, Яккасарайский район",12:00-23:00
Rukkola,"ул. Тараса Шевченко, 8, Мирабадский район",10:00-22:00
Safari - ArtCafe,"ул. Ниезбек Йули, 6, Юнусабадский район",
Sah,"просп. Бунёдкор, 41А, Чиланзарский район",10:00-23:00
Sal Sal,"ул. Афросиаб, 6, Мирабадский район",11:00-23:00
Salom,"ул. Буюк Ипак Йули, 162, Мирзо-Улугбекский район",10:00-23:00
Sam Tabaka,"ул. Осиё, 3, Юнусабадский район",
Sam's,"просп. Амира Темура, 32, Мирабадский район",11:00-23:00
Samar,"ул. Фермантепа, 3, Мирзо-Улугбекский район",08:00-22:00
Samarkand,"ул. Буюк Ипак Йули, 160Б, Мирзо-Улугбекский район",07:00-23:00
SamOsh,"ул. Паркенская, блок 74, Мирзо-Улугбекский район",12:00-15:00
Samurai sushi,"ул. 9-й проезд Абдуллы Каххара, 16А, Мирабадский район",10:00-23:30
Sanatkor,"ул. Есенина, 16А, Шайхантахурский район",
Sanibel cafe,"пр. Мукими, 1-й проезд, 8А, 1-й этаж, Яккасарайский район",11:00-23:00
Sanora,"ул. Олтинтепа, 12, Яшнабадский район",09:00-22:00
Santini Bar &Terrace,"ул. Коронкул, 88, Юнусабадский район",13:00-00:00
Sarbon Appetit,"просп. Амира Темура, 92, Юнусабадский район",12:00-01:00
Saroy Art-Choyhona,"ул. Маннона Уйгура, Шайхантахурский район",
Schober Coffee House,"ул. Шота Руставели, 37, Яккасарайский район",12:00-00:00
Schtolz,"ул. Тюльпан, 92, Мирзо-Улугбекский район",11:00-23:00
Secret,"ул. Саида Барака, 34А, Мирабадский район",
Secret Bar,"ул. Бабура, 14, Яккасарайский район",18:00-06:00
Semo de' Roma,"ул. Чехова, 40, Мирабадский район",11:00-00:00
Seoul,"ул. Ахангаранское шоссе, 11, Яшнабадский район",10:00-23:00
Sette Restaurant & Bar,"ул. Алишера Навои, 1А, Юнусабадский район",11:30-02:00
Seventy7,"ул. Мирабад, 25, Мирабадский район",19:00-02:00
Sezam Garden,"Юнусабад-4, ул. Кулоктепа, Юнусабадский район",10:00-22:00
Shade Restaurant & Terrace,"ул. Минглар, 35, Яккасарайский район",
Shafran,"ул. Фаргона Йули, 13/7, Яшнабадский район",12:00-23:00
Shahinshah,"ул. Хамал, 1, Мирабадский район",
Shahriston,"просп. Амира Темура, 112, Юнусабадский район",17:00-
Shake&Pear,"ул. Алишера Навои, 11А, Шайхантахурский район",08:00-23:00
Shalimar,"ул. Шахрисабская, 33А, Мирзо-Улугбекский район",11:00-23:00
Shalom,"Ц-6, ул. Осиё, 89, Юнусабадский район",11:00-23:00
Shamsinur,"ул. О.Зокирова, 1, Юнусабадский район",
Shanhai,"ул. Арнасай, 7А, Чиланзарский район",10:00-00:00
Shanson,"ул. Кичик Халка Йули, 20/1, Чиланзарский район",
Sharq yulduzi,"ул. Буюк Турон, 56, Яккасарайский район",
Sharshara,"ул. Северный Алмазар, 10, Олмазорский район",11:00-23:00
Shashleek,"ул. Узбекистон, Овози, Мирзо-Улугбекский район",
Shashlik Somsa,"просп. Мирзо Улугбека, 3А, Мирзо-Улугбекский район",
Shedevr Garden,"ул. Нурафшон, 44, Шайхантахурский район",12:00-23:00
Sherbet,"ул. Шота Руставели, 32А, Яккасарайский район",10:00-00:00
Shisha Bar,"ул. Зарафшан, 1, Мирабадский район",11:00-23:00
Shohona,"просп. Мирзо Улугбека, 10, Мирзо-Улугбекский район",08:00-23:00
Shosh Restaurant & Terrace,"ул. Ислама Каримова, 2, Шайхантахурский район",06:30-17:00
Shox,"ул. М. Шейх-Заде, 31, Учтепинский район",
Siesta Pub & Restaurant,"просп. Амира Темура, 98, Мирзо-Улугбекский район",11:00-23:00
Sila bar,"ул. Бабура, 14, Яшнабадский район",
Silk 96 wine & lounge,"ул. Кары Ниязова, 68, Мирзо-Улугбекский район",18:00-03:00
Silk Way,"пр. Шахризабз, 4, Мирабадский район",
Sim Sim,"ул. Мукими, 15, Яккасарайский район",09:00-00:00
Sinatra,"просп. Амира Темура, 54, Юнусабадский район",
Sindbad,"просп. Амира Темура, 107, Юнусабадский район",
Sir Richard's Pub,"ул. Мукими, А, Яккасарайский район",
Sirali Kebap,"ул. Фурката, 2А, Шайхантахурский район",11:00-23:00
Sky House,"Ц-4, просп. Амира Темура, 8, Яшнабадский район",
SLab bar,"просп. Амира Темура, Юнусабадский район",
SmokeShisha,"просп. Амира Темура, 129Б ТРЦ Gorod, Юнусабадский район",12:00-
Smurfland,"Ц-17/18, ул. Гафура Гуляма, 4Б, Шайхантахурский район",10:00-22:00
Socials,"ул. Тараса Шевченко, 36А, Мирабадский район",08:00-23:00
Socials Cafe,"просп. Амира Темура, 89, Юнусабадский район",08:00-01:00
Socials Cafe,"ул. Тараса Шевченко, 36А, Мирабадский район",08:00-01:00
Sofiya Lounge Bar,"ул. Шайхонтохур, 10, Шайхантахурский район",11:00-02:00
Soju,"просп. Амира Темура, 60, Юнусабадский район",
Some More Coffeeshop,"ул. Минглар, 35, Яккасарайский район",08:00-20:00
Soul,"ул. Буюк Ипак Йули, 152/1, Мирзо-Улугбекский район",08:00-00:00
Soul Kitchen,"ул. Ифтихор, 64, Юнусабадский район",11:00-23:00
Soy,"ул. Авлиё-ота, 50, Мирабадский район",08:00-23:00
Soy,"просп. Бунёдкор, 6, Шайхантахурский район",
Steak House,"ул. Шота Руставели, 13А, Яккасарайский район",12:00-00:00
Steakhouse.uz,"ул. Шахрисабз, 33А, Мирзо-Улугбекский район",11:00-23:00
Steam bar,"ул. Ниёзбек йули, 1, Юнусабадский район",
Stories city cafe,"ул. Буюк Ипак Йули, 156А, Мирзо-Улугбекский район",round_the_clock
Street 77,"ул. Кораташ, 5А, Шайхантахурский район",11:00-23:00
Street 77,"ул. Бабура, 6, Яккасарайский район",11:00-23:00
Street 77,"ул. Шастри, 19А, Мирзо-Улугбекский район",11:00-23:00
Street 77,"ул. Фаргона Йули, 17, Бектемирский район",11:00-23:00
Street 77 Disney,"ул. Фитрата, 27, Мирабадский район",11:00-22:00
Street 77 Megapolis,"ул. Ахмада Дониша, Юнусабадский район",11:00-23:00
Street 77 Sky,"просп. Амира Темура, 95А, Юнусабадский район",11:00-23:00
Studio Cafe,"ул. Той-Тепа, 1, Яшнабадский район",08:00-23:00
Stuzzico,"ул. Мирадабская, 4, Мирабадский район",11:00-22:30
Stuzzico,"ул. Осиё, 57, Юнусабадский район",11:00-22:30
Stuzzico,"ул. Кораташ, 5А, Шайхантахурский район",11:00-22:30
Sultan,"ул. Арпапая, 3А, Чиланзарский район",17:00-02:00
Sultan Art Restoran,"ул. Тахтапуль, 327, Олмазорский район",
Sultan Food,"ул. Кушбеги, Яккасарайский район",
Sultan Saray,"ул. Шахрисабз, 33А, Мирабадский район",11:00-02:30
Sultan Suleyman,"ул. Олтин Тепа, 382, Мирзо-Улугбекский район",
Sumbula Oilaviy Maskani,"ул. Ифтихор, 15, Юнусабадский район",09:00-23:00
Sunrise,"ул. Сарыкульская, 2-й тупик, 5, Яккасарайский район",10:00-23:00
Super bistro,"просп. Амира Темура, 70А, Юнусабадский район",
Sushi bar N1 - Nam Dae Mun,"ул. Юсуф Хос Хожиб, 71, Яккасарайский район",12:00-23:00
Sushi Master,"ул. Фидокор (быв. Чехова), 40, Мирабадский район",10:00-23:00
Sushi Time,"ул. Мирабад, 12/110, Мирабадский район",
Sushido,"Мирабад-40, ул. Фидокор, Мирабадский район",
Suwon BBQ,"просп. Амира Темура, 22/2, Мирабадский район",
Suzane,"Сергели 5А, Сергелийский район",
Sweet & Spice,"ул. Ойбека, 65, Мирабадский район",15:00-00:00
SYNC Karaoke and Games,"ул. Юсуфа Хос Ходжиба, 73, Яккасарайский район",
Taksim by Tuncay şef,"ул. Шота Руставели, 30А, Яккасарайский район",08:00-23:00
Tamri Restaurant,"ул. Матбуотчилар, Мирабадский район",18:00-04:00
Tangem,"ул. Мехржон, 72, Мирабадский район",10:00-23:00
Tapchan,"ул. Кукча Дарвоза, 345, Шайхантахурский район",11:00-23:00
Tarona,"ул. Кары Ниязова, 13, Мирзо-Улугбекский район",
Tasanno,"ТТЗ 4, ул. Гульсанам, Мирзо-Улугбекский район",10:00-23:00
TashPizza,"ул. Мирсалихова, 128Б, Мирабадский район",11:00-23:00
Temple Pub,"ул. Ниезбек Йули, 6, Юнусабадский район",18:00-03:00
Teppanyaki,"ул. Шахрисабз, 33А, Юнусабадский район",11:00-23:00
Terrace,"ул. Шахрисабз, 22, Мирабадский район",12:00-23:00
TerraSushi,"ул. Садыка Азимова, 43, Мирзо-Улугбекский район",10:00-23:00
Testo by Zamira&Co,"ул. Шота Руставели, 18, Яккасарайский район",08:00-23:00
Testo by Zamira&Co,"ул. Садыка Азимова, 54, Яшнабадский район",
Texas Burger,"ул. Катартал, 28, Чиланзарский район",10:00-22:00
Tez Food,"ул. Кораташ, 5А ТРЦ Samarkand Darvoza, Шайхантахурский район",
Tezaurus,"ул. Махатмы Ганди, 14, Мирзо-Улугбекский район",11:00-23:00
The Bar,"просп. Ислама Каримова, 56, Мирабадский район",18:00-05:00
The Black,"ул. Фидокор, 7, Мирабадский район",09:00-23:00
The Brothers,"ул. Юннамед, Мирабадский район",11:00-23:00
The Burger,"ул. Истикбол, 8, Яшнабадский район",11:00-02:00
The Choyxona,"пр. Богишамол, 131, Юнусабадский район",
The Coffee Club,"ул. Шарафа Рашидова, Яккасарайский район",09:00-23:00
The Face,"ул. Усмана Насыра, Мирабадский район",
The Fusion,"ул. Бабура, 21, Яккасарайский район",10:00-23:00
The Gallery,"ул. Пахтакорская, 5, Шайхантахурский район",10:00-23:00
The Host,"ул. Ойбека, 65, Мирабадский район",11:00-23:00
The Irish Pub & Restaurant,"ул. Тараса Шевченко, 30, Мирабадский район",11:00-23:00
The Kitchen,"ул. Афросиаб, 12А, Мирабадский район",08:00-23:00
The Mayfair Pub,"ул. Темирйулчилар, 148, Мирабадский район",11:00-23:00
The Park,"ул. Мавераннахр, 21, Мирзо-Улугбекский район",
The Park Restaurant,"ул. Абдуллы Кадыри, 1, Олмазорский район",
The Roof,"просп. Амира Темура, 129Б, Юнусабадский район",
The Sultan Lounge & Restaurant,"ул. Узбекистан Овози, 2, Мирзо-Улугбекский район",17:00-05:00
The Time,"просп. Мирзо Улугбека, 15, Яшнабадский район",18:00-04:00
The Tunnel lounge,"ул. Буюк Ипак Йули, 160B, Мирзо-Улугбекский район",
The WKND Bar,"ул. Туркистон, 12А, Мирабадский район",
The Гость,"просп. Амир Темур, 49, Юнусабадский район",10:00-23:00
The Сад,"ул. Сарыкульская, 18, Мирабадский район",
Three Palms,"Поселок Ийк-Ота, улица Узбекистанская",
Tiffany & F,"ул. Бабура, 33, Яккасарайский район",
Tim's Coffee & Roastery,"ул. Тараса Шевченко, 40, Мирабадский район",
Tim's Coffee & Roastery,"ул. Шота Руставели, 35, Яккасарайский район",
TimeFood,"Малая кольцевая дорога, 589, Олмазорский район",09:00-23:00
Timekeeper Lounge,"ул. Шахрисабз, 23, Мирабадский район",12:00-02:00
Timekeeper Milliy Lounge,"ул. Олой Берк, 59/5, Юнусабадский район",
Tin’s Hot Dogs,"ул. Узбекистон овози, 48, Мирзо-Улугбекский район",15:00-23:00
TOKU,"ул. Истикбол, 4, Мирабадский район",12:00-02:00
Tokyo Cafe,"ул. Афросиаб, 41, Мирабадский район",12:00-23:00
TomYumBar Tashkent,"ул. Тараса Шевченко, 21, Мирабадский район",
Tong,"ул. Бодомзор, 27, Юнусабадский район",09:00-23:00
Top Food,"ул. Шахрисабз, Мирабадский район",
Torento,"ул. Шахризабская, 30А, Мирзо-Улугбекский район",08:30-23:30
Torero burgers,"ул. Истикбол, 8, Мирабадский район",
Torrero Burgers,"ул. Истикбол, 8, Мирабадский район",10:00-23:00
Tub-Tim Thai,"просп. Бунёдкор, 6А, Шайхантахурский район",12:30-21:00
Tumbler Bar,"ул. Ислама Каримова, 2, Шайхантахурский район",
Turandot,"ул. Амира Темура, 2, Мирабадский район",12:00-00:00
Turka Saray,"ул. Нукус, 83А, Мирабадский район",
Tutti Frutti Uzbekistan,"ул. Кораташ, 5А, Шайхантахурский район",10:00-23:00
Twice Spice,"ул. Новомосковская, 18, Мирзо-Улугбекский район",10:00-23:00
UNO coffee & eat,"ул. Мирабад, 37, Мирабадский район",08:00-01:00
Uno Моменто,"ул. Байроктол, 36Б, Юнусабадский район",11:00-23:00
Urartu,"ул. Cултана Машхадий, 210, Яшнабадский район",11:00-00:00
Urban Food,"просп. Амира Темура, 1, Юнусабадский район",
Urban Food,"ул. Шахрисабз, 23, Мирабадский район",10:00-23:00
Uzbek Somsa,"ул. Ислама Каримова, 8, Чиланзарский район",
Vanilla,"ТРЦ Континент, 2-й этаж, Яккасарайский район",
Vanilla Cafe & Restaurant,"ул. Абдуллы Кадыри, 3а, Юнусабадский район",11:00-00:00
Vanilly,"ул. Кораташ, 5А, Шайхантахурский район",
Vavilon,"ул. Махатмы Ганди, 32, Мирзо-Улугбекский район",14:00-23:00
Vega Train,"ул. Шота Руставели, 150, Чиланзарский район",10:00-22:00
Velvet,"ул. Абдуллы Кадыри, 35, Юнусабадский район",12:00-23:00
Veranda Lounge,"ул. Мирабад, 2, Мирабадский район",12:00-02:00
Vernissage,"Массив Олмазор, 167, Чиланзарский район",
Versal,"просп. Беруни, 8А, Шайхантахурский район",11:00-23:00
VIBE coffee,"ул. Юсуфа Хос Ходжиба, 72, Яккасарайский район",10:00-22:00
Vienna,"ул. Байроктол, 36Б, Олмазорский район",
Vietnam,"ул. Ивлева, 22, кв. 14, Яккасарайский район",
Villa Brasserie,"ул. Янги Сергели, Сергелийский район",
Vinnie's Pub,"ул. Султанали Машхадий, 79, Яшнабадский район",09:00-18:00
VipRooms,"ул. Садыка Азимова, 52А, Мирзо-Улугбекский район",
Viva Maria chocolaterie,"ул. Абдуллы Каххара, 24А, Яккасарайский район",10:00-20:00
VM,"Ц-1, ул. Узбекистон Овози, 21, Мирзо-Улугбекский район",
Wendy's,"ул. ТКАД, Фаргона йули, 17, Бектемирский район",
Wendy's,"ул. Кораташ, 5А, Шайхантахурский район",
Wendy's,"Ц-1, пересечение ул. Хамида Алимджана и ул. Узбекистон Овози, Мирзо-Улугбекский район",
Wendy's,"ул. Тараса Шевченко, 38, Яккасарайский район",
West,"ул. Мирабад, 21, Мирабадский район",
Wine time,"ул. 1-й переулок Бойкургон, 15, Яшнабадский район",13:00-01:00
Winesday,"ул. Тараса Шевченко, 38, Мирабадский район",
Wok,"Ц1, ул. Узбекистон овози, 21А, Мирзо-Улугбекский район",11:00-22:30
Wok,"ул. Кораташ, 5А, Шайхантахурский район",11:00-23:00
Wok,"ул. Бабура, 6, Яккасарайский район",11:00-23:00
Xash-Pash,"ул. Рохат, 3, Бектемирский район",
Xon Atlas,"пересечение просп. Мирзо Улугбека и ул. Т.Малика, Мирзо-Улугбекский район",
Xonxonim,"ул. Аккурган, 24, Мирзо-Улугбекский район",10:00-23:00
Xorazm Gamburger,"11 квартал, Учтепинский район",10:00-23:00
XS restaurant and club,"ул. Истикбол, 8, Мирабадский район",18:00-03:00
XXX,"ул. Кичик Халка йули, 12, Юнусабадский район",12:00-23:00
Yakka Saroy,"ул. Абдуллы Каххара, 40, Яккасарайский район",
Yalpiz,"ул. Шота Руставели, 59, Яккасарайский район",09:00-23:00
Yalpiz,"ул. Гафура Гуляма, 5, Шайхантахурский район",
Yamu Yamu,"ул. Катартал, 2, Чиланзарский район",11:00-23:00
Yaponamama,"ул. Тараса Шевченко, 34, Мирабадский район",10:00-23:00
Yaponamama,"Ц-1, ул. Истикбол, 29, Мирзо-Улугбекский район",10:00-23:00
Yaponamama,"пересечение ул. Абая и ул. Зулфияхоним, 34, Шайхантахурский район",09:00-18:00
Yaponamama,"пересечение ул. Ахмада Дониша и ул. Янгишахар, Юнусабадский район",
Yaponamama,"ул. Бодомзор, 78, Юнусабадский район",10:00-23:00
Yaponamama,"ул. Шота Руставели, 69А, Яккасарайский район",09:00-18:00
Yaponamama,"просп. Мирзо Улугбека, 4, Яшнабадский район",10:00-23:00
Yaponamama Kids,"ул. Бойкургон, 6, Яшнабадский район",10:00-23:00
York Pub,"ул. Фурката, 1, Шайхантахурский район",
Yulduz,"ул. Шота Руставели, 84А, Яккасарайский район",
Yungnuo,"ул. 7-й проезд Сайрам, 19А, Мирзо-Улугбекский район",10:00-23:00
Zabeel Saray,"ул. Тараса Шевченко, Мирабадский район",
Zafar,"ул. Мукими, 41A, Чиланзарский район",11:00-00:00
Zarafshon,"ул. Матбуотчилар, 17, Мирзо-Улугбекский район",09:00-23:00
Zavod№3,"Янги Сергели, 4, Сергелийский район",14\:00-00:00
Zayed bistro&cafe,"ул. Махмуджона Гафурова, 182А, Чиланзарский район",
Zee Box Healthy Food&Bakery,"ул. Хуршида, 58, Юнусабадский район",08:00-20:00
Zeyn's Coffee and Ice,"Чиланзар-16, 24, Чиланзарский район",08:00-23:00
Zira Bakery,"ул. Паркент, 26А, Мирзо-Улугбекский район",
Zomin Milliy Taomlar,"ул. Султанали Машхадий, 57, Яшнабадский район",
Zuma Night Club,"просп. Амира Темура, 107А, Юнусабадский район",21:00-05:00
Zvezda karaoke club,"ул. Алишера Навои, 25, Шайхантахурский район",
Аmore catering,"Чиланзар-8, ул. Чапаната, 47, Чиланзарский район",
Агат,"ул. Матбуотчилар, 17, Юнусабадский район",10:00-23:00
Азия,"ул. Гафура Гуляма, 1, Шайхантахурский район",10:00-00:00
Азия,"ул. Братислава, 2, Яккасарайский район",10:00-00:00
Александра,"массив Башлык, ул. Кичик Халка йули, Яккасарайский район",10:00-23:00
Алмаз,"Бектемирский район д.12 (второй поворот после куйлюкского моста), Бектемирский район",09:00-03:00
Алтын,"ул. Усмана Насыра, 12, Яккасарайский район",12:00-23:00
Алтын,"ул. Шота Руставели, 12, Яккасарайский район",
Амфора - Греческая Таверна,"ул. Мирабад, 6, Яккасарайский район",11:30-23:00
Армянский Дворик,"ул. Султанали Машхадий, 176, Яшнабадский район",
Аршин,"ул. Темирйуловчилар, 89, Мирабадский район",11:00-00:00
Атланта,"ул. Буюк Ипак Йули, 115, Мирзо-Улугбекский район",
АтмоСфера развлечений,"просп. Амира Темура, Б, Юнусабадский район",12:00-04:00
Бакинский бульвар,"ул. Гайбара Алиева, Мирабадский район",
Банкетный зал Ipak Yo'li,"просп. Мирзо Улугбека, 9, Мирзо-Улугбекский район",11:00-23:00
Банкетный зал V&L,"Зангиатинский район, населенный пункт Кыргызаул",17:00-23:00
Бар «Честный»,"махалля Конституция, Яккасарайский район",
Барон,"ул. 1-й проезд Бодомзор йули, 72, Юнусабадский район",12:00-00:00
Безе,"ул. Кары Ниязова, Мирзо-Улугбекский район",10:00-21:00
Бек,"просп. Мирзо Улугбека, 13, Мирзо-Улугбекский район",10:00-23:00
Бек на Мукими,"ул. Мукими, 27, Яккасарайский район",09:00-23:00
Белый Журавль,"просп. Амира Темура, 146, Юнусабадский район",
Библиотека,"ул. 3-й проезд Ниезбек Йули, 10, Юнусабадский район",18:00-05:00
БирХаус,"ул. Мирабад, 27/6, Мирабадский район",15:00-23:00
Бистро Бек,"ул. Бабура, 18, Яккасарайский район",
Блисс,"просп. Амира Темура, 4, Отель «Пойтахт», Мирабадский район",
Бомонд,"ул. Алишера Навои, 3, Шайхантахурский район",11:00-00:00
Бунёдкор,"Чупон-ота, 81, стадион «Бунёдкор», Чиланзарский район",12:00-
Бургерная «БРО»,"ул. Истикбол, 8, Мирабадский район",11:00-23:30
Бухарский дворик,"ул. Кичик Халка Йули, 20, Юнусабадский район",11:00-23:00
Васаби,"ул. Шахрисабз, 5, Мирзо-Улугбекский район",12:00-00:00
Вачач,"ул. Паркентская, 49, Мирзо-Улугбекский район",
Венская Пекарня,"ул. Осиё, 4, Юнусабадский район",08:30-22:00
Венская Пекарня,"ул. Шастри, 27, Мирзо-Улугбекский район",08:00-22:00
Венская Пекарня,"ул. Фидокор, 42, Мирабадский район",08:30-22:00
Венская Пекарня,"ул. Якуба Коласа, 3, Мирабадский район",08:00-22:00
Вечер,"ул. Аккурган, 31, Мирзо-Улугбекский район",11:00-00:00
Вкусная История,"ул. Аккурган, 35, Юнусабадский район",09:00-21:00
Вкуснофф,"ул. Буюк Ипак Йули, 105, Мирзо-Улугбекский район",08:00-23:00
Вмясо,"ул. Сароймулкхоним, 65, Мирзо-Улугбекский район",
Восток,"ул. Хамал, 25/2, Мирабадский район",10:00-23:00
Восточный бульвар,"ул. Зарафшан, Юнусабадский район",00:00-00:00
Восточный квартал,"ул. Нукус, 85, Мирабадский район",
Генацвале,"просп. Мустакиллик, 1, Мирзо-Улугбекский район",11:00-23:00
Го Гу Рё,"ул. Султанали Машхадий, 50, Яшнабадский район",10:00-22:00
Голубые Купола,"ул. Шарафа Рашидова, 77, Яккасарайский район",11:00-23:00
Гранд-Максан,"ул. Султанали Машхадий, 119, Яшнабадский район",
Грильяж,"ул. Абдуллы Каххара, 47, Яккасарайский район",10:00-23:00
Грузинский Дворик,"ул. Абдуллы Каххарa, 15, Яккасарайский район",12:00-00:00
Детская площадка Mona,"ул. Юсуф Хос Ходжиби, 69, Яккасарайский район",08:00-03:00
Джем бар,"просп. Амира Темура, 129B, Юнусабадский район",
Дикарём,"ул. Нукус, 4-й проезд, 90А, Мирабадский район",10:00-23:00
Дом,"ул. Аккурганская, 21, Мирзо-Улугбекский район",11:00-23:00
Дом Выпечки,"ул. Якуба Коласа, 3/2, Мирабадский район",
Домик рыбака,"ул. Буюк Ипак йули, 222, Мирзо-Улугбекский район",11:00-23:00
Дуэт,"ул. Инокобад тупик 1, 1, Мирабадский район",12:00-23:00
Жемчужина востока,"массив Кушбеги, 11А, Яккасарайский район",12:00-00:00
Жемчужина Нила,"ул. Гагарина, 18А, Чиланзарский район",
Жемчужный,"ул. Катартал, 10/1, Чиланзарский район",11:00-03:00
Жигули Рестобар,"ул. Султанали Машхадий, 74, Яшнабадский район",11:00-02:00
Звездный дождь,"Сергели, 7А, Сергелийский район",
Золотая долина,"ул. О. Зокирова, 61, Юнусабадский район",
Зомин Миллий Таомлар,"ул. Султанали Машхадий, 64, Яшнабадский район",
Изба,"Массив Ялангач 5/4, Мирзо-Улугбекский район",11:00-23:00
Изумрудный,"ул. Султанали Машхадий, 119, Яшнабадский район",11:00-23:00
Ипак Йули,"ул. Фуркат боги, Олмазорский район",12:00-00:00
Кавказская пленница,Бостанлыкский р-н,
Кавказская Пленница,"ул. Султанали Машхадий, 57, Яшнабадский район",11:00-23:00
Караоке-бар «Альянс»,"ул. Урта Чирчик, 10, Бектемирский район",12:00-23:45
Караоке-клуб Troy,"массив Башлык, ул. Кичик Халка Йули, Яккасарайский район",
Кафе «Ильмира»,"Малика Каххара 32, Юнусабадский район",
Кафе «Мельница»,"просп. Амира Темура, 92А, Мирабадский район",09:00-11:00
Кафе «Ночной Ташкент»,"ул. Саракульская, 2, 4, Мирабадский район",
Кафе Bobo,"ул. Фидокор, 10, Мирабадский район",08:00-18:00
Кафе Sabrina,"массив Хумоюн, 39А, Мирзо-Улугбекский район",
Кафе-бар Айва,"ул. Осиё, 2А, Юнусабадский район",
