name,address,hours
Bon!,"ул. Садыка Азимова, 44, Мирзо-Улугбекский район",08:00-22:00
Bon!,"ул. Алишера Навои, 22, Шайхантахурский район",08:00-22:00
Bon!,"ул. Катартал, 28, Чиланзарский район",08:00-22:00
Bon!,"ул. Аккурганская, 14А, Мирзо-Улугбекский район",08:00-22:00
Bon!,"ул. Беруни, 12, Шайхантахурский район",08:00-22:00
Bon!,"ул. Тимура Малика, 3, Мирзо-Улугбекский район",088:00-22:00
Bon!,"ул. Тараса Шевченко, 28, Мирабадский район",08:00-22:00
Bon!,"Юнусабад-4, 80, Юнусабадский район",08:00-22:00
Bon!,"просп. Амира Темура, 72А, Юнусабадский район",08:00-22:00
Bon!,"ул. Саёхат, 2, Мирзо-Улугбекский район",08:00-22:00
Bonno,"ул. Гафурова, 15/1, Чиланзарский район",
Bookcafe,"ул. Истикбол, 8, Мирабадский район",11:00-23:00
BOR DO,"ул. Мустакиллик (бывш. Пушкина), 65, Мирзо-Улугбекский район",18:00-06:00
Bosphorus,"ул. А.Темур, 88, Юнусабадский район",
Bourbon Restaurant & Lounge bar,"ул. Талимарджан, 135, Мирабадский район",12:00-03:00
Brand,"третий проезд Ниезбек Йули, 4, Юнусабадский район",
Brand 910,"ул. Ниезбек-Йули, 3-й проезд, 4, Юнусабадский район",19:00-06:00
Brasserie,"просп. Амира Темура, 107А, Юнусабадский район",09:00-04:00
Bravo Pizza,"ул. Бабура, 14, Яккасарайский район",10:00-23:00
Breadly,"ул. Абдуллы Каххара, 24А, Яккасарайский район",
Breadly,"ул. Хамида Алимджана, 14, Мирзо-Улугбекский район",
Breadly bakery,"ул. Аккурганская, 25, Мирзо-Улугбекский район",08:00-22:00
Bridge Lounge Bar,"ул. Фурката, 2А, Шайхантахурский район",
Bristol,"ул. Кичик Беш-Агач, 135, Мирабадский район",11:00-23:00
British Pub,"ул. Кары Ниязова, 9, Мирзо-Улугбекский район",11:00-23:00
Broadway Lounge Bar,"ул. Матбуатчилар, 17, Юнусабадский район",09:00-12:00
Broaster Chicken,"ул. Юсуф Хос Ходжиб, 32, Яккасарайский район",09:00-23:00
Broccoli,"ул. Фидокор, 7, Мирабадский район",08:00-23:00
Broccoli park,"ул. Шахрисабз, 31Б, Мирзо-Улугбекский район",08:00-23:00
Broker's cafe,"ул. Бабура, 77, Яккасарайский район",08:00-00:00
Bros Coffee,"ул. Янги Куйлик, 18, Мирабадский район",
Bruno Coffee House,"ул. Олой, 17А, Мирзо-Улугбекский район",08:30-22:00
Bruno Coffee House,"ул. Кораташ, 5А, Шайхантахурский район",09:00-22:00
Bruno Coffee House,"Юнусабад-4, 1А, Юнусабадский район",08:00-22:00
Buonissimo,"ул. Мирабад, 12/110, Мирабадский район",11:00-23:00
Burger & Lounge grill bar,"ул. Буюк Ипак Йули, 158А, Мирзо-Улугбекский район",08:00-00:00
Burger & Lounge grill bar,"просп. Амира Темура, 1, Юнусабадский район",
Burger Embassy,"ул. Якуба Коласа, 6, Мирабадский район",08:00-23:00
Burger Embassy,"ул. Осие, 26, Юнусабадский район",08:00-23:00
Bushe.uz,"ул. Шукура Бурханова, 18, Мирзо-Улугбекский район",09:00-20:00
Business Café by Jum,"ул. Бабура, 77, Яккасарайский район",09:00-20:00
CabinEt - Meat House,"ул. Саракульская, 2/4, Мирабадский район",11:00-00:00
