point_id,review,rating,date
0,"Все вкусно как всегда !Официанты молодцы,вежливые.Но вот только в этот раз картошечка по домашнему изменилась картошки стало намного больше а мясо очень мало и мало было сливочного соуса",4.0,2023-06-18T06:39:03.696Z
0,"Отличное место, советую. Классная кухня, хорошая подача, вежливый персонал, отличная локация, уютное место и прекрасная атмосфера.",5.0,2023-09-16T11:22:54.551Z
0,"Несколько раз бывал у них, заказывал только банановый шейк и только на вынос. Могу сказать, что персонал очень внимательный и отзывчивый, убранство заведения оставляет приятное впечатление, также у них необычная туалетная комната:) Выполнена в виде комнаты дискотеки) Еду ц них не пробовал, ничего не скажу, но банановый Шейк мне нравится:) Советую посетить)",5.0,2023-03-22T17:56:35.887Z
0,"Приемлемые цены, отличная и оригинальная атмосфера.Вкусная европейская кухня 
Уютная обстановка, вежливые у улыбчивые официанты.
Есть курящий и некурящий зал. Отличное место чтобы позавтракать перед прогулкой по городу",5.0,2023-02-13T16:57:17.251Z
0,"Если вы любитель уютных мест, однозначно стоит посетить Подушечную. Вкусная еда, приветливый персонал. И очень удобная локация.",5.0,2023-09-10T17:47:56.310Z
0,Очень уютное место особенно в жаркие дни.миленькая летняя зона отлично подходит для душных вечеров и там реально вкусно готовят,5.0,2023-05-17T17:43:31.000Z
0,"Очень классная атмосфера! Всегда чисто, сотрудники вежливые и улыбаются (что в Ташкенте не так часто), интересный дизайн и вкусные блюда!",5.0,2023-05-11T11:33:50.076Z
0,"Название говорит за себя, «мир подушек», там сидеть классно парочками, приглушённый свет, мягкий диван, много подушек, приятная музыка: классика, джаз, блюз( надеюсь вы уловили вайб), а ещё официанты делают все, чтобы вам угодить(нам повезло официант сыграл на гитаре), меню постоянно обновляется, но всегда вкусно и со вкусом подано 😅 
Есть зона для не курящих и зона для курящих, там можно по настоящему почилить!! Кальяны! 
И да, есть ещё детская зона!",5.0,2022-11-29T16:49:27.722Z
0,Отличное меню. Обслуживание на высоком уровне. Очень нравится интерьер. Приятная обстановка. Желаю дальнейших успехов и процветания,5.0,2023-09-29T15:46:32.767Z
0,"Атмосферное и приятное место, действительно заботливый и улыбчивый персонал. 
Удобное место для работы и встреч что называется ""по душам""",5.0,2023-10-01T05:30:14.447Z
0,"Яркое теплое душевное как будто дома у друзей! Кушать вкусно и с интересным вариантом подачи блюд! Советую! 
Руслан Ака брат вы малодчики!",5.0,2023-09-09T16:24:55.965Z
0,"Хорошее обслуживание) 
Чувствуется уют в самом заведении
Авторские чаи и все салаты на железную пятерочку! 
Цены приемлемые, не специализируется на конкретной кухне, но здесь есть что поесть и попить. Не видел здесь барной карты, видимо политика заведения (без алкоголя) 
Зато есть зал для курящих и некурящих) 
В общем и целом Шик да блеск! 
Надеюсь не накаркал и заведение будет держать свою марку еще долго 🙏",5.0,2022-08-25T14:46:54.838Z
0,"Место уютное, приятно посидеть снаружи. Но еда не супер вкусная, так что для обеда-ужина лучше выбрать что-то другое.",4.0,2023-07-08T19:29:31.237Z
0,"Определённо прекрасное заведение для лёгкой встречи в ненавязчивой атмосфере. Прекраснейший персонал и вкусная еда - залог роста любого заведения. Являюсь гостем с 2019 года и вижу, что владельцы не стоят на месте. Желаю удачи и советую шакшуку.",5.0,2023-03-09T10:54:55.783Z
0,"Очень атмосферное место, приятный персонал, очень дружелюбный и отзывчивый. Еда вкусная. Особенно салат с тофу и паста мне нравится. Разнообразие чая радует.",5.0,2023-03-13T17:33:50.385Z
0,"Первый раз в Ташкенте, посоветовали данное заведение. Честно говоря, приятно удивлен - такого креативного оформления, интерьера мало где встречал. Прекрасное меню с очень вкусными блюдами (салат с баклажанами лучше всех подобных, что я пробовал). Плюс максимально приятный персонал - официанты отзывчивые, администратор просто душка! В общем, всем рекомендую!",5.0,2022-10-10T08:11:42.476Z
0,"Частенько тут кушаем с семьей) все очень нравится, мягкая, приятная домашняя обстановка) есть детский уголок с кучей игрушек, а в другом зале можно покурить кальян, в меню выбор не большой, но все очень вкусно)",5.0,2022-10-27T16:14:20.440Z
0,"Думаю, что это одно из самых приятных мест в Ташкенте. Вкусная еда, приветливый персонал и хорошее барное меню (кофе/чаи/смузи) 
Есть зал для не курящих и зал с кальянами, где можно покурить и электронные сигареты",5.0,2023-01-28T07:08:50.442Z
1,"Лучший сервис в Ташкенте. 
Прекрасное меню, есть авторские шедевры, лояльный прайс. 
Отдельная благодарность официантам, ребята создают настроение, особенно отмечу Эрика и Дениса!
Также необходимо отметить локацию, это Ц6 с удобной логистикой. 
Нельзя пройти мимо веранды, это технологичный конструктор, когда там отдельно открывают крышу, ощущения как будто ты в хорошем кабриолете!

Спасибо всей команде за вкусную еду, хорошее настроение и стабильно лучший сервис🤝",5.0,2023-05-29T07:19:08.099Z
1,"Тебя тут вкусно накормят, поднимут настроение, согреют своим общением и вкусным чаем , атмосфера ооооочень тёплая и добрая ❤️ Кухня вкусная, ребята приветливые и дружелюбные, все чистенько и аккуратнееько. Нет алкоголя, можно приходить с детишками, так как есть детская площадка и хорошие нянечьки, пока вы вкусно кушаете , детишки тоже заняты , вы можете через планшет наблюдать, чем заняты ваши детишки, одним словом лучшие ❤️",5.0,2023-10-20T05:51:34.378Z
1,"Очень приятное и уютное место
Достаточно большой выбор блюд, дружелюбный персонал, посоветуют и расскажут о составе
Особенно рекомендую крылышки😅
Вкусные супы, да и все остальное 
Удобная локация 
Также подойдет для людей, которые любят завтраки на обед 😅",5.0,2023-10-20T05:52:23.333Z
